ticker,date,gvkey,comp_name,fiscal_year,fiscal_quarter,assets,net_income,ebitda,revenue,rd_expense,cap_ex_ytd,sector_code
F,2008-12-31,4839,FORD MOTOR CO,2008,4,218328.0,-5978.0,5742.0,28974.0,7300.0,6696.0,25
F,2009-03-31,4839,FORD MOTOR CO,2009,1,203134.0,-1427.0,1336.0,24390.0,,1366.0,25
F,2009-06-30,4839,FORD MOTOR CO,2009,2,200190.0,2261.0,1920.0,26810.0,,2388.0,25
F,2009-09-30,4839,FORD MOTOR CO,2009,3,203106.0,997.0,4309.0,30272.0,,3391.0,25
F,2009-12-31,4839,FORD MOTOR CO,2009,4,194850.0,886.0,3559.0,34811.0,4700.0,4561.0,25
F,2010-03-31,4839,FORD MOTOR CO,2010,1,191968.0,2085.0,4962.0,31566.0,,1068.0,25
F,2010-06-30,4839,FORD MOTOR CO,2010,2,179750.0,2599.0,5757.0,35067.0,,2027.0,25
F,2010-09-30,4839,FORD MOTOR CO,2010,3,177078.0,1687.0,4389.0,29893.0,,2946.0,25
F,2010-12-31,4839,FORD MOTOR CO,2010,4,164687.0,190.0,3699.0,32428.0,5000.0,4092.0,25
F,2011-03-31,4839,FORD MOTOR CO,2011,1,167391.0,2551.0,4991.0,33114.0,,929.0,25
F,2011-06-30,4839,FORD MOTOR CO,2011,2,168086.0,2398.0,4627.0,35527.0,,2022.0,25
F,2011-09-30,4839,FORD MOTOR CO,2011,3,162740.0,1649.0,3848.0,33047.0,,3135.0,25
F,2011-12-31,4839,FORD MOTOR CO,2011,4,178348.0,13615.0,3296.0,34576.0,5300.0,4293.0,25
F,2012-03-31,4839,FORD MOTOR CO,2012,1,182075.0,1396.0,4139.0,32445.0,,1093.0,25
F,2012-06-30,4839,FORD MOTOR CO,2012,2,181236.0,1040.0,3870.0,33211.0,,2284.0,25
F,2012-09-30,4839,FORD MOTOR CO,2012,3,184680.0,1631.0,3993.0,32172.0,,3603.0,25
F,2012-12-31,4839,FORD MOTOR CO,2012,4,190554.0,1598.0,2444.0,35731.0,5500.0,5488.0,25
F,2013-03-31,4839,FORD MOTOR CO,2013,1,193010.0,1611.0,3963.0,35649.0,,1483.0,25
F,2013-06-30,4839,FORD MOTOR CO,2013,2,196210.0,1233.0,3801.0,37923.0,,3077.0,25
F,2013-09-30,4839,FORD MOTOR CO,2013,3,201071.0,1272.0,4096.0,35775.0,,4659.0,25
F,2013-12-31,4839,FORD MOTOR CO,2013,4,202026.0,3039.0,2914.0,37570.0,6400.0,6597.0,25
F,2014-03-31,4839,FORD MOTOR CO,2014,1,207082.0,989.0,3150.0,35876.0,,1516.0,25
F,2014-06-30,4839,FORD MOTOR CO,2014,2,210945.0,1311.0,4326.0,37411.0,,3428.0,25
F,2014-09-30,4839,FORD MOTOR CO,2014,3,208835.0,835.0,3073.0,34920.0,,5309.0,25
F,2014-12-31,4839,FORD MOTOR CO,2014,4,208527.0,52.0,2940.0,35870.0,6900.0,7463.0,25
F,2015-03-31,4839,FORD MOTOR CO,2015,1,212374.0,1153.0,3806.0,33900.0,,1800.0,25
F,2015-06-30,4839,FORD MOTOR CO,2015,2,216045.0,2160.0,5113.0,37263.0,,3533.0,25
F,2015-09-30,4839,FORD MOTOR CO,2015,3,219431.0,2192.0,5288.0,38144.0,,5358.0,25
F,2015-12-31,4839,FORD MOTOR CO,2015,4,224925.0,1868.0,3866.0,40251.0,6700.0,7196.0,25
F,2016-03-31,4839,FORD MOTOR CO,2016,1,237288.0,2452.0,4209.0,37718.0,,1511.0,25
F,2016-06-30,4839,FORD MOTOR CO,2016,2,239678.0,1970.0,3721.0,39485.0,,3206.0,25
F,2016-09-30,4839,FORD MOTOR CO,2016,3,234963.0,957.0,2329.0,35943.0,,4912.0,25
F,2016-12-31,4839,FORD MOTOR CO,2016,4,237951.0,-783.0,2957.0,38654.0,7300.0,6992.0,25
F,2017-03-31,4839,FORD MOTOR CO,2017,1,244094.0,1592.0,3394.0,39146.0,,1706.0,25
F,2017-06-30,4839,FORD MOTOR CO,2017,2,247469.0,2047.0,3520.0,39853.0,,3264.0,25
F,2017-09-30,4839,FORD MOTOR CO,2017,3,251273.0,1572.0,3107.0,36451.0,,4936.0,25
F,2017-12-31,4839,FORD MOTOR CO,2017,4,257808.0,2520.0,2997.0,41326.0,8000.0,7049.0,25
F,2018-03-31,4839,FORD MOTOR CO,2018,1,267230.0,1736.0,3333.0,41959.0,,1779.0,25
F,2018-06-30,4839,FORD MOTOR CO,2018,2,258079.0,1066.0,2983.0,38920.0,,3688.0,25
F,2018-09-30,4839,FORD MOTOR CO,2018,3,258966.0,991.0,3151.0,37666.0,,5669.0,25
F,2018-12-31,4839,FORD MOTOR CO,2018,4,256540.0,-116.0,3840.0,41793.0,8200.0,7785.0,25
F,2019-03-31,4839,FORD MOTOR CO,2019,1,263281.0,1146.0,4752.0,40342.0,,1633.0,25
